intent,samples
greeting,"你好,Hello,早晨,午安,晚安,Hi,嗨,哈囉,Good morning,Good afternoon,你好呀 Skin&Beam"
book_appointment,"我想預約,點樣預約,我想約時間,想安排療程,預約方法,點樣book時間,我需要預約,可唔可以幫我預約,網上點樣預約,可唔可以打電話預約"
ask_about_service,"邊個服務最好,有咩服務,想了解POTENZA,有冇做Thermage,Botox幾錢,有咩療程對暗瘡好,有邊幾款激光,Ultherapy係咩,邊個護理可以美白,抗衰老嘅療程有邊啲"
ask_branch_info,"分店地址喺邊,分店喺邊度,最近我嘅分店,點去銅鑼灣分店,尖沙咀分店點去,旺角分店嘅位置,分店聯絡方法,分店電話係幾多"
ask_payment_methods,"用咩付款,接受咩付款方式,可唔可以網上付款,收唔收信用卡,可唔可以用支付寶,有冇分期付款,點樣俾錢,可唔可以用FPS"
pregnant_customer,"我懷孕,孕婦可唔可以做療程,懷孕期間做療程安全嗎,有咩療程啱孕婦做,我懷孕三個月,會唔會影響胎兒,懷孕可以做邊啲服務"
isotretinoin_user,"我食緊isotretinoin,accutane會唔會影響療程,我用緊暗瘡藥,食緊roaccutane可唔可以做激光,isotretinoin同療程有咩關係,暗瘡藥會唔會影響療程"
high_risk_customer,"我有心臟病,我有人工心瓣膜,我做緊化療,我有免疫系統問題,我有感染性心內膜炎病史,我剛做完心臟移植,我係HIV陽性,我有嚴重慢性疾病"
complaint,"我唔滿意,療程冇效果,我想投訴,效果唔如預期,員工唔專業,我有副作用,效果唔理想"
request_refund,"我想退款,退款政策係點,可唔可以退錢,我想取消服務拎返錢,邊種情況可以退款,用咩方式退款"
alternative_solutions,"我唔想做呢個療程,有咩其他選擇,可唔可以俾親戚朋友用,可唔可以轉做第二樣,可唔可以延長使用期,轉讓服務畀朋友得唔得"
ask_performer,"邊個會做療程,醫生定係技術員做,Rejuran係邊個注射,POTENZA邊個做,Secret Laser邊個做,有冇醫生做,Ultherapy係醫生定技術員做"
ask_about_doctor,"咩療程由醫生做,醫生有冇做POTENZA,Botox一定係醫生打嘛,所有注射都係醫生做?,醫生專業經驗如何"
ask_about_technician,"技術員做邊啲療程,邊啲療程由技術員做,POTENZA係咪技術員做,技術員會唔會打Botox,技術員有咩專業資格"
aftercare_info,"療程後要注意啲咩,療程後嘅護理,恢復期要幾耐,做完療程可唔可以化妝,可唔可以曬太陽,療程後可唔可以飲酒,做完要注意啲咩"
specific_treatment_aftercare,"打完Botox要注意咩,做完Thermage之後點,POTENZA之後嘅注意事項,Ultherapy恢復期幾耐,Secret RF做完點護理,Peel之後要點,做完Rejuran要點"
opening_hours,"營業時間係幾點,幾點開門,星期六日有冇開,假期有冇做,收工幾點,週末開放時間,分店營業時間"
walk_in_policy,"可唔可以walk-in,要唔要預約先得,唔預約可唔可以做,我想直接去,邊啲療程一定要預約,晚上可唔可以唔預約直接去,唔預約會唔會等好耐"
treatment_combination,"可唔可以一次做多個療程,可唔可以組合唔同療程,POTENZA同咩一齊做最好,做完Thermage可唔可以即刻打Botox,可唔可以同一日做激光同埋打針,邊啲療程組合效果最好"
treatment_difference,"唔同嘅Botox有咩分別,唔同HIFU有咩分別,Shurink同EcoLift有咩唔同,PicoPlus同PicoSure有咩區別,Thermage同Ultherapy邊個好啲,Secret同POTENZA應該揀邊個"
price_inquiry,"各項服務收費,POTENZA幾錢,Botox價錢,Thermage收費,Ultherapy幾多錢,POTENZA套餐收費,Rejuran打針收費,激光去暗瘡幾錢"
language_support,"有冇講廣東話,提供咩語言服務,有冇英文服務,有冇翻譯,我講廣東話得唔得,支唔支援普通話,有冇講越南話"
promotion_inquiry,"有冇優惠,而家有咩promotion,邊個服務有減價,有冇套餐優惠,新客優惠,介紹朋友有冇優惠,有冇package"
referral_program,"有冇介紹計劃,介紹朋友有咩優惠,點樣介紹人,我想介紹朋友嚟做療程,介紹人有冇獎勵"
gift_voucher,"有冇禮券,點樣買禮物送朋友,可唔可以買服務送人,禮券有效期幾耐,有冇電子禮券"
treatment_results,"效果點樣,效果維持幾耐,幾耐會見到效果,Botox可以維持幾耐,POTENZA效果如何,Ultherapy效果維持幾耐,激光美白效果點"
contour_injection_inquiry,"Contour Injection係咩,Contour Injection入面有咩成分,Contour有冇steroid,Contour Injection安全嗎,Contour Injection效果點,Contour用喺邊個位置"
toxin_correction,"Botox冇效點算,可唔可以調整Botox,如果Botox唔均勻點算,重新調整Botox要唔要錢,隔幾耐先可以調整Botox"
filler_dissolving,"有冇溶解填充劑嘅服務,有冇透明質酸酶,如果填充劑有塊點算,我想溶解喺第二間診所做嘅填充劑,填充劑有問題點處理"
custom_treatment_plan,"我需要個人化療程計劃,有冇個人咨詢服務,應該由邊個療程開始,敏感皮膚嘅護理計劃,全面護理方案,邊個方法最啱我"